model,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,vmcategory,qos_cost,power_floor_W,power_calibration_scale
resnet50,78.84683242905656,24.14032442695205,388.06943986884716,297.0354638865365,31.416204710524127,Delay-insensitive,2.4140324426952056,266.9,3.2027006173247186
resnet50,71.21364607295432,21.19829262860396,418.87988498192664,311.72180009524686,44.86667032158779,Interactive,10.59914631430198,266.9,2.756153454332061
resnet50,78.77660215053764,21.74888940575149,442.2181608602157,305.2224141181118,32.38928363701021,Delay-insensitive,2.174888940575149,266.9,2.522375084762634
resnet50,82.76002300361485,24.771711696711098,437.42613498192554,327.32573382397436,28.215440607251036,Interactive,22.294540527039988,266.9,2.5651559805087314
resnet50,89.57026309626045,27.47313042798776,399.99613592005636,306.71859255936545,15.994971119397343,Delay-insensitive,2.747313042798776,266.9,3.005317420787575
resnet50,83.20058330594807,24.88333462830767,437.5373525303964,327.1427892326845,27.479040173871354,Interactive,12.441667314153834,266.9,2.564135847410408
resnet50,89.90265037667356,27.546331899336423,400.44346383543404,306.74147301314895,15.486379484939578,Interactive,16.527799139601854,266.9,2.998600248447214
resnet50,89.96709473437683,27.568017058251534,400.49435301924353,306.8020365769677,15.390578841384857,Interactive,16.54081023495092,266.9,2.997838935314539
resnet50,83.4407246138679,24.983024439247306,438.30343945119967,328.0815689906998,27.163965250156473,Interactive,24.983024439247306,266.9,2.557144949101148
resnet50,83.32767827801511,24.95412129817406,438.8604765034513,328.56362345484206,27.38959218190112,Interactive,24.95412129817406,266.9,2.552100839838293
resnet50,90.59840736981808,27.781679490671248,401.52113787180895,307.81257322632484,14.469642099609723,Delay-insensitive,2.778167949067125,266.9,2.9826009809406875
resnet50,92.55806451612904,25.54647831407482,469.7738374193546,324.1496895190036,12.061505382586144,Delay-insensitive,2.5546478314074825,266.9,2.315595955570647
resnet50,92.66408602150538,25.578273584314527,470.01977204301124,324.3515054085563,11.897073712361996,Interactive,12.789136792157263,266.9,2.314003050099342
resnet50,93.31410752688171,25.768110173977405,471.097441720431,325.2265681647843,10.872149320755087,Delay-insensitive,2.5768110173977408,266.9,2.307068285240398
resnet50,93.7770752688172,25.887599255381435,472.0085690322576,325.7504204835297,10.135601739100764,Interactive,12.943799627690716,266.9,2.3012620645704196
resnet50,92.66408602150538,25.578273584314527,470.01977204301124,324.3515054085563,11.897073712361996,Interactive,12.789136792157263,266.9,2.314003050099342
resnet50,83.20058330594807,24.88333462830767,437.5373525303964,327.1427892326845,27.479040173871354,Interactive,14.9300007769846,266.9,2.564135847410408
resnet50,78.84683242905656,24.14032442695205,388.06943986884716,297.0354638865365,31.416204710524127,Delay-insensitive,2.4140324426952056,266.9,3.2027006173247186
resnet50,82.76002300361485,24.771711696711098,437.42613498192554,327.32573382397436,28.215440607251036,Interactive,12.385855848355549,266.9,2.5651559805087314
resnet50,92.55806451612904,25.54647831407482,469.7738374193546,324.1496895190036,12.061505382586144,Interactive,17.882534819852374,266.9,2.315595955570647
resnet50,82.76002300361485,24.771711696711098,437.42613498192554,327.32573382397436,28.215440607251036,Delay-insensitive,2.47717116967111,266.9,2.5651559805087314
resnet50,89.96709473437683,27.568017058251534,400.49435301924353,306.8020365769677,15.390578841384857,Interactive,24.811215352426384,266.9,2.997838935314539
resnet50,83.32767827801511,24.95412129817406,438.8604765034513,328.56362345484206,27.38959218190112,Delay-insensitive,2.495412129817406,266.9,2.552100839838293
resnet50,82.76002300361485,24.771711696711098,437.42613498192554,327.32573382397436,28.215440607251036,Delay-insensitive,2.47717116967111,266.9,2.5651559805087314
resnet50,83.20058330594807,24.88333462830767,437.5373525303964,327.1427892326845,27.479040173871354,Delay-insensitive,2.488333462830767,266.9,2.564135847410408
resnet50,78.77660215053764,21.74888940575149,442.2181608602157,305.2224141181118,32.38928363701021,Delay-insensitive,2.174888940575149,266.9,2.522375084762634
resnet50,89.57026309626045,27.47313042798776,399.99613592005636,306.71859255936545,15.994971119397343,Delay-insensitive,2.747313042798776,266.9,3.005317420787575
resnet50,89.96709473437683,27.568017058251534,400.49435301924353,306.8020365769677,15.390578841384857,Interactive,16.54081023495092,266.9,2.997838935314539
resnet50,89.90265037667356,27.546331899336423,400.44346383543404,306.74147301314895,15.486379484939578,Delay-insensitive,2.7546331899336427,266.9,2.998600248447214
resnet50,83.4407246138679,24.983024439247306,438.30343945119967,328.0815689906998,27.163965250156473,Delay-insensitive,2.4983024439247306,266.9,2.557144949101148
resnet50,83.4407246138679,24.983024439247306,438.30343945119967,328.0815689906998,27.163965250156473,Delay-insensitive,2.4983024439247306,266.9,2.557144949101148
resnet50,92.66408602150538,25.578273584314527,470.01977204301124,324.3515054085563,11.897073712361996,Delay-insensitive,2.557827358431453,266.9,2.314003050099342
resnet50,90.59840736981808,27.781679490671248,401.52113787180895,307.81257322632484,14.469642099609723,Interactive,13.890839745335624,266.9,2.9826009809406875
resnet50,71.21364607295432,21.19829262860396,418.87988498192664,311.72180009524686,44.86667032158779,Delay-insensitive,2.119829262860396,266.9,2.756153454332061
resnet50,89.90265037667356,27.546331899336423,400.44346383543404,306.74147301314895,15.486379484939578,Interactive,24.791698709402784,266.9,2.998600248447214
resnet50,89.96709473437683,27.568017058251534,400.49435301924353,306.8020365769677,15.390578841384857,Delay-insensitive,2.756801705825154,266.9,2.997838935314539
resnet50,89.96709473437683,27.568017058251534,400.49435301924353,306.8020365769677,15.390578841384857,Interactive,19.29761194077608,266.9,2.997838935314539
resnet50,93.7770752688172,25.887599255381435,472.0085690322576,325.7504204835297,10.135601739100764,Delay-insensitive,2.5887599255381435,266.9,2.3012620645704196
resnet50,83.4407246138679,24.983024439247306,438.30343945119967,328.0815689906998,27.163965250156473,Delay-insensitive,2.4983024439247306,266.9,2.557144949101148
resnet50,71.21364607295432,21.19829262860396,418.87988498192664,311.72180009524686,44.86667032158779,Delay-insensitive,2.119829262860396,266.9,2.756153454332061
