round,strategy,display_name,role,policy,transition_variant,gate_mode,n,reward_vs_oracle_pct,reward_vs_oracle_rank,mean_transition_l1_error,std_transition_l1_error,mean_off_support_leakage,std_off_support_leakage,mean_reward_pct_oracle,mean_top1_agreement,mean_top2_agreement
100,Adp. + support/offline,Support + offline,Refined TW,tm_tw_refined,support_offline,deterministic,10,94.8151064166984,1,0.07845798861506989,0.0044957063040897485,2.253938142461014e-07,5.581640514214129e-09,94.8151064166984,0.631,0.8150000000000001
100,Adp. + gated + LR,Gated + LR,Refined TW,tm_tw_refined,gated_offline_low_rank,deterministic,10,94.44484184093405,2,0.11500281351664876,0.003908395355599099,0.026616433668041912,0.0015045556412323483,94.44484184093405,0.607,0.788
100,Adp. + offline prior,Offline prior,Refined TW,tm_tw_refined,offline,deterministic,10,93.83243118675699,3,0.10753349568494523,0.00490184709183303,0.026286068899801777,0.0012558330234579322,93.83243118675699,0.5700000000000001,0.771
100,Adaptive TW,Adaptive TW,Refined TW,tm_tw_refined,dense,deterministic,10,93.35385771477128,4,0.18208767446453544,0.01377661243980391,0.04318031540324823,0.003203034156233397,93.35385771477128,0.572,0.7849999999999999
100,Adp. + gated prior,Gated prior,Refined TW,tm_tw_refined,gated_offline,deterministic,10,92.08703099579152,5,0.10855945051379032,0.0027422858448047627,0.02594064739592431,0.0012816506887107844,92.08703099579152,0.5980000000000001,0.775
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TW,tm_tw_refined,gated_offline_low_rank,beta,10,91.67515146194629,6,0.11233728271699421,0.002927101890536142,0.026151000850851158,0.0006570048699290085,91.67515146194629,0.587,0.7689999999999999
100,Adp. + beta gate prior,Beta-gate prior,Refined TW,tm_tw_refined,gated_offline,beta,10,91.64388077092332,7,0.11027488372690364,0.008199340705744131,0.026162451495215948,0.0008965564457489597,91.64388077092332,0.5730000000000001,0.744
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,10,90.36103888495637,8,0.17865712318579985,0.005586680608836073,0.043804531357448405,0.003993557279230245,90.36103888495637,0.58,0.758
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,10,89.9118794025396,9,0.1701707828353299,0.007088264415937633,0.042537335826227915,0.0024621206886923964,89.9118794025396,0.53,0.702
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,10,89.4763351485615,10,0.1757713409751671,0.008226426086366345,0.03901053172529429,0.001980026244415282,89.4763351485615,0.558,0.751
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,10,86.66582215658471,11,0.17935887502567263,0.006936625506568336,0.040218862717654354,0.003102993693448187,86.66582215658471,0.5109999999999999,0.71
100,TW,TW,TW,tw,dense,deterministic,10,84.13708337117035,12,0.18465058369270904,0.01014850296412857,0.03643094498888211,0.006126962227022247,84.13708337117035,0.514,0.6910000000000001
1000,Adaptive TW,Adaptive TW,Refined TW,tm_tw_refined,dense,deterministic,10,97.76207992309794,1,0.1109165984691823,0.005275564066902614,0.019260961320522012,0.004354719427158501,97.76207992309794,0.7788999999999999,0.9119999999999999
1000,Adp. + beta gate prior,Beta-gate prior,Refined TW,tm_tw_refined,gated_offline,beta,10,97.41442678660545,2,0.06940420411158503,0.005223114387781397,0.01394014094227065,0.0009627383475669922,97.41442678660545,0.7863,0.9235
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,10,97.16147472020484,3,0.11746929053868008,0.014184454319530733,0.03325739854910116,0.01068535229419883,97.16147472020484,0.647,0.8251
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,10,96.91390077514009,4,0.10696716531914637,0.006841008371337179,0.02692232692390829,0.0041662315066163455,96.91390077514009,0.6328,0.8256
1000,Adp. + gated + LR,Gated + LR,Refined TW,tm_tw_refined,gated_offline_low_rank,deterministic,10,96.86700216876669,5,0.0701444641084725,0.003314538048323286,0.014040715497874409,0.0010122307040493466,96.86700216876669,0.7353,0.8881
1000,Adp. + gated prior,Gated prior,Refined TW,tm_tw_refined,gated_offline,deterministic,10,96.73971615207313,6,0.07001473177819344,0.0033032896297193054,0.0141353451580261,0.0012895727282971306,96.73971615207313,0.745,0.8915
1000,Adp. + support/offline,Support + offline,Refined TW,tm_tw_refined,support_offline,deterministic,10,96.66382531912349,7,0.05538281219943666,0.0041169633569687935,1.2146893062646215e-07,9.601976268472194e-09,96.66382531912349,0.7647,0.9124000000000001
1000,Adp. + offline prior,Offline prior,Refined TW,tm_tw_refined,offline,deterministic,10,96.53499516261319,8,0.06969556855711383,0.004129289003065304,0.012780307239184,0.0011816084859104469,96.53499516261319,0.7569,0.9057999999999999
1000,Adp. + beta gate + LR,Beta-gate + LR,Refined TW,tm_tw_refined,gated_offline_low_rank,beta,10,95.85487225062698,9,0.06994395564123636,0.005640882328954856,0.01410413425641072,0.0013145393841175299,95.85487225062698,0.701,0.8676
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,10,95.41892295813666,10,0.11127799768163842,0.009439689054911186,0.01805852151806963,0.004963955036909614,95.41892295813666,0.751,0.8991
1000,TW,TW,TW,tw,dense,deterministic,10,94.68124845687586,11,0.11450840840889775,0.006795230803692991,0.01784965933695118,0.003529821555405829,94.68124845687586,0.7352000000000001,0.8973000000000001
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,10,94.28685340404539,12,0.10868580282158583,0.005878714764490946,0.01834770957699853,0.0035556744411539263,94.28685340404539,0.7209000000000001,0.8814
