S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
100,0.0,1.0,1.0,deterministic,0.1,exp4_dense,10,72.4012195808399,0.3610194702503303,0.00923666934459202,0.45899999999999996,0.733,270796.7780189425
100,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,48.283996398473974,0.36055107006371057,0.009225359322232562,0.32199999999999995,0.576,511394.9444408254
100,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,59.845385033774015,0.36088771791963226,0.009233503959503911,0.37699999999999995,0.6490000000000001,393624.35981149535
100,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.36013556943617286,0.009214477279553431,1.0,1.0,0.0
100,0.0,1.0,1.0,deterministic,0.1,state_thompson,10,45.42688885112115,0.36069032797192374,0.009228570166934869,0.275,0.477,530589.1934830371
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,10,55.50153669426849,0.3606473786875978,0.00922765718974119,0.358,0.5820000000000001,445338.10165295226
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,57.99288431064137,0.3071352292759988,0.007858729240603709,0.371,0.5919999999999999,427725.62074820587
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_offline,10,52.46016125317444,0.3073302952766873,0.007863559627761587,0.33999999999999997,0.599,459418.7384140889
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,78.54395581692825,0.36081775795694865,0.009230964468244613,0.521,0.7809999999999999,202757.99118557078
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,79.21121024814087,0.3071280740135105,0.007858594949620214,0.518,0.786,202425.3193138726
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,77.12886698125266,0.3073156168201454,0.007862858095671934,0.525,0.7710000000000001,229742.59015869262
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,74.03283990126138,0.06979023249545997,4.2638237976519234e-07,0.487,0.7729999999999999,250447.26754565755
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,49.79664179559069,0.07011762852580355,4.2635901320472345e-07,0.32899999999999996,0.5940000000000001,490715.42032615526
100,0.0,1.0,1.0,deterministic,0.1,tw_dense,10,47.38580485911999,0.3606024372424039,0.009225927445316199,0.298,0.556,540854.7105400864
100,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,10,48.465492963836866,0.30709316931503566,0.007857675477708107,0.28700000000000003,0.5369999999999999,522641.5670224674
100,0.0,1.0,1.0,deterministic,0.1,tw_offline,10,53.3677856243023,0.30704481867188627,0.007856455813183526,0.33999999999999997,0.542,483041.8507090146
100,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,10,60.66996452322549,0.06965257425427226,4.274394335229425e-07,0.41100000000000003,0.657,406662.1783208289
100,0.1,1.0,1.0,deterministic,0.1,exp4_dense,10,71.28252850880064,0.3669078754174443,0.009387701648185729,0.462,0.709,288725.253337394
100,0.1,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,50.8967196702978,0.36640533267958914,0.009375125756676709,0.344,0.5650000000000001,478967.4370714654
100,0.1,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,58.72807074315055,0.36628432037870373,0.00937185412958066,0.374,0.614,412939.80541374284
100,0.1,1.0,1.0,deterministic,0.1,oracle,10,95.7031767598113,0.3661856656867638,0.009369648646426762,0.9120000000000001,0.959,46655.68654923438
100,0.1,1.0,1.0,deterministic,0.1,state_thompson,10,48.05651561752404,0.366560204559342,0.009378760918243512,0.28500000000000003,0.473,531824.759977921
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_dense,10,53.51443231848375,0.3661997445575584,0.009370208385731953,0.337,0.583,470991.91678022966
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,51.250898406029854,0.31188189450946985,0.007980114147670237,0.32599999999999996,0.5970000000000001,496852.4802007023
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_offline,10,50.92796641602137,0.31180475291320553,0.00797843269397028,0.337,0.555,494889.5225283176
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,76.55844711447591,0.36652148366318743,0.009378177533427269,0.49400000000000005,0.74,240966.52758725072
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,77.68453100207687,0.31162185326613645,0.00797372300971173,0.51,0.753,228126.5403220021
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,75.79316678764316,0.31183084484199197,0.007978930251442131,0.47000000000000003,0.7380000000000001,230860.94167880696
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,74.14621886063489,0.07231784746494033,0.0002795066259203753,0.48100000000000004,0.76,259811.08264386965
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,54.91555723329928,0.0714562056753902,0.0002642529626156446,0.36300000000000004,0.6160000000000001,447397.4043569799
100,0.1,1.0,1.0,deterministic,0.1,tw_dense,10,43.66407646165998,0.3664389573626147,0.009376073713761528,0.28700000000000003,0.529,541941.1714615573
100,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline,10,45.282803322563254,0.3118619495702279,0.007979779826446664,0.273,0.515,534326.9880797823
100,0.1,1.0,1.0,deterministic,0.1,tw_offline,10,51.49168302841586,0.3117910917827088,0.00797809120020614,0.316,0.5509999999999999,501865.53023022105
100,0.1,1.0,1.0,deterministic,0.1,tw_support_offline,10,56.33765491446515,0.07153880599314878,0.00027635437862870747,0.35700000000000004,0.619,415137.1947128088
100,0.2,1.0,1.0,deterministic,0.1,exp4_dense,10,73.66301489295022,0.371498227712022,0.00950551259886551,0.4800000000000001,0.7130000000000001,256095.24168072967
100,0.2,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,51.456525287709304,0.3713730509345681,0.009502778144059363,0.33599999999999997,0.584,484176.28119148884
100,0.2,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,54.94208121099804,0.37131591528345986,0.00950105409734788,0.36699999999999994,0.607,457170.2137941734
100,0.2,1.0,1.0,deterministic,0.1,oracle,10,91.30039871908284,0.3715382116570885,0.009506759869050268,0.8140000000000001,0.932,95578.72872849459
100,0.2,1.0,1.0,deterministic,0.1,state_thompson,10,44.085287222320986,0.37146448675716803,0.009504997505215445,0.259,0.454,567228.965799249
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_dense,10,43.670263639737044,0.3716034121954948,0.009508121846417323,0.274,0.534,546198.7980111256
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,54.56150915443843,0.3160951568265351,0.008087935459876378,0.371,0.5890000000000001,470570.05676104856
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_offline,10,46.449822645733704,0.3159998051458574,0.008085750603131315,0.299,0.5269999999999999,534089.8570146421
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,70.2505678275442,0.3718474377770284,0.009514822642387899,0.47400000000000003,0.726,293154.94532536593
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,69.96391772619435,0.31618955485850575,0.008090561692871208,0.481,0.729,291494.7363374101
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,71.49902615163805,0.3161780059193434,0.008090386615063245,0.445,0.708,272999.8279557961
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,72.83881398531534,0.07250458663684359,0.0004982178276577,0.49300000000000005,0.741,282274.13592502725
100,0.2,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,57.31588501524292,0.07225718201061251,0.0004990448879659563,0.378,0.625,415007.3690922715
100,0.2,1.0,1.0,deterministic,0.1,tw_dense,10,42.60180038680267,0.37175817841235115,0.00951225045032286,0.27399999999999997,0.49399999999999994,589192.4831355627
