model,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,vmcategory,qos_cost,power_floor_W,power_calibration_scale
unlabeled,0.0,1e-06,294.1233068783067,10.09576828196764,5.04788414098382,Interactive,9e-07,266.9,10.804099156399056
unlabeled,0.0,1e-06,298.03028539994693,31.727825574646722,28.737127493238656,Interactive,5e-07,266.9,9.573644493489118
unlabeled,0.0006462632137746,5.3632019762914176e-05,305.8309112311319,63.458168540744865,63.457759171199,Interactive,4.290561581033134e-05,266.9,7.855734724918734
unlabeled,0.0101221731522209,0.0032952823740834,297.3681767575004,207.77396291214322,117.02947993273011,Interactive,0.0029657541366751,266.9,9.759959682664524
unlabeled,0.0194563578324814,0.0081550062865091,297.6730430056988,312.1233505546447,156.03120772297638,Delay-insensitive,0.0008155006286509,266.9,9.67317541364282
unlabeled,23.70732026785392,1.2933176553871886,346.14404531143606,47.21094833142326,17.97750142522404,Interactive,0.7759905932323131,266.9,4.368076414461927
bert|unlabeled,28.396135513050968,3.8434728037746657,340.6209088013648,88.9355651049577,30.86836257395569,Interactive,1.9217364018873329,266.9,4.620411147116226
bert|unlabeled,53.61784726891511,9.235506781229756,340.3642066572859,132.39876119129607,36.348467615617324,Interactive,5.541304068737853,266.9,4.633061760880391
bert|unlabeled,66.01356096541681,8.07554065411155,365.96549365194664,93.29403800060072,23.33863925936592,Interactive,4.037770327055775,266.9,3.6941772574991396
bert|unlabeled,69.8608544308679,7.839005427850281,367.53717994453257,85.76303678854087,19.374946139921118,Delay-insensitive,0.7839005427850281,266.9,3.6521013421392095
bert|unlabeled,76.90411366363465,10.922569282934022,375.76280073046627,86.94045488394016,10.80088980070423,Interactive,7.645798498053815,266.9,3.4517098421968626
bert|inception3|unlabeled,65.72130047857746,10.450012293254364,389.485396662679,143.0305016921611,65.43825685299123,Interactive,6.270007375952618,266.9,3.1772577098594756
bert|unlabeled,80.68401026593689,14.53697313725718,354.90046713777934,136.84542313313207,15.773200949929434,Delay-insensitive,1.4536973137257183,266.9,4.0329384454530635
unlabeled,85.6089747986456,2.6029307199404355,417.39476348181614,27.672058188628366,3.601178033449363,Delay-insensitive,0.2602930719940435,266.9,2.7734836337494793
inception3|unlabeled,77.57966343192322,9.288994707713451,396.1810394922079,149.97409773590064,56.235739060792994,Delay-insensitive,0.9288994707713454,266.9,3.06449453878414
inception3|resnet50|unlabeled,57.67548986927982,25.813876859915982,378.87064802175496,446.13985904377995,199.69383937102998,Interactive,20.65110148793279,266.9,3.383660403109782
resnet50|unlabeled,64.91573548924283,18.007044624528532,414.1270483448434,279.89026293265283,126.66445361254357,Interactive,10.80422677471712,266.9,2.8128462330838273
bert|unlabeled,68.56666930372656,21.67963046379492,405.6765041744118,280.47508432512046,125.9768407316977,Delay-insensitive,2.167963046379492,266.9,2.923236224948892
inception3|unlabeled,46.16805883138054,35.873407291413365,358.684398263364,653.4642092518143,364.73569946521656,Delay-insensitive,3.587340729141337,266.9,3.9079016156336643
bert|unlabeled,51.841093378098186,33.155914190822365,362.6437097182635,598.4775125750865,309.84813204614125,Delay-insensitive,3.315591419082237,266.9,3.7876504972011515
bert|unlabeled,52.0671386498207,33.35988770435298,362.76302948381317,598.7136136654036,308.63256519666004,Delay-insensitive,3.335988770435298,266.9,3.7841807361728232
bert|resnet50|unlabeled,67.29240749197483,27.317627299564485,401.5418866055995,416.3678659150403,138.27888191753755,Interactive,24.58586456960804,266.9,2.9822954559588006
bert|inception3|resnet50,82.79788579111872,26.27797945114835,413.8004427738184,332.47196162567,48.76213220819595,Interactive,15.766787670689007,266.9,2.816876756531932
resnet50,85.2877522287455,25.733792741451733,425.13565044925207,320.15329219886365,24.0737042975755,Delay-insensitive,2.5733792741451733,266.9,2.686724826183199
resnet50,85.57849920875329,25.8350542652243,425.8860896579648,320.9010396148409,23.652440716106337,Delay-insensitive,2.5835054265224304,266.9,2.67876322119876
resnet50|vgg16,84.7834984972506,28.55996598516773,416.5110581772326,356.4627078480416,51.50921311174035,Interactive,25.70396938665096,266.9,2.7839590418765994
vgg16,88.38643459980833,32.852029989231866,445.0631860759879,413.5606039727694,48.0078087088118,Delay-insensitive,3.285202998923187,266.9,2.4980648128180927
inception3|resnet50,81.10173222832915,46.39899006843657,451.80714523361576,663.3795934151477,155.8168253338758,Interactive,37.119192054749256,266.9,2.4434271842918385
resnet50,92.98909677419356,25.67319187914596,470.5586068817211,324.7891352564055,11.383822910803307,Interactive,15.403915127487576,266.9,2.3105264937563255
inception3,77.86318399211426,56.8797383738943,435.61246211415033,817.1954099983161,171.60019189615093,Delay-insensitive,5.68797383738943,266.9,2.581981536250809
resnet50|vgg16,94.50895065570889,30.634354480912247,463.97870285476967,373.30402027124313,15.020643391268367,Delay-insensitive,3.0634354480912247,266.9,2.354281290336494
inception3|vgg16,93.70512688470538,40.78497604360619,456.2033619247014,495.7599745835142,17.19755874610886,Delay-insensitive,4.07849760436062,266.9,2.4099062863245075
vgg16,99.4187194675347,36.020051772411215,464.84477147686994,420.8357781307847,1.225129033953774,Delay-insensitive,3.602005177241121,266.9,2.3483558974993564
vgg16,98.12360563708036,36.52799540745536,461.48350976418874,429.47882992167627,7.395425015163557,Delay-insensitive,3.6527995407455367,266.9,2.371647578581812
vgg16,99.41862963432573,36.02204636002582,464.962194893635,420.95971919469,1.2260578352356597,Delay-insensitive,3.602204636002582,266.9,2.347556509425399
inception3|vgg16,94.70349060744245,42.28637462143708,455.47648660954076,509.180471086437,14.877993198342306,Delay-insensitive,4.228637462143708,266.9,2.4153408242918046
vgg16,99.56071380197751,35.053999091854664,468.71942621563113,412.574647850466,0.9061958310062105,Interactive,17.526999545927332,266.9,2.3224693232198286
inception3|vgg16,95.27849839232748,42.52517964204003,455.8345990851649,509.7979716349552,13.525519354757655,Delay-insensitive,4.252517964204003,266.9,2.4126581435711048
inception3,89.4501009209729,66.23025091027452,457.2829882496952,860.8978687350182,85.16579739101351,Interactive,46.36117563719216,266.9,2.4019109714253952
inception3,94.76432946773714,91.48419475385096,475.4366871245901,1147.4502810285471,60.07664229740139,Interactive,54.89051685231058,266.9,2.2798707204960094
